Designator,Mid X,Mid Y,Rotation,Layer
Q10,100.494765,-165.085,270.0,top
Q4,66.25,-212.1625,90.0,top
Q5,71.5625,-211.75,90.0,top
Q6,77.985,-213.55,90.0,top
Q7,79.2,-221.8,180.0,top
Q8,417.1,-278.4125,0.0,top
Q9,94.169765,-168.605,180.0,top
R1,242.6,-338.31,90.0,top
R10,124.3935,-162.7782,270.0,top
R100,80.1775,-216.8,180.0,top
R101,126.3935,-162.7782,270.0,top
R102,132.9935,-160.7782,180.0,top
R103,128.15,-160.4682,0.0,top
R104,132.4935,-163.2782,90.0,top
R105,145.15,-202.75,90.0,top
R106,68.9,-213.2,0.0,top
R107,102.05,-221.245,0.0,top
R108,103.95,-220.445,0.0,top
R109,104.05,-219.045,90.0,top
R11,481.25,-232.85,180.0,top
R110,93.86,-215.745,0.0,top
R12,498.7,-251.1,180.0,top
R13,126.5935,-151.5682,180.0,top
R14,100.224765,-158.35,0.0,top
R15,102.124765,-158.35,0.0,top
R16,128.5935,-150.0682,90.0,top
R17,127.5935,-150.0682,90.0,top
R18,102.174765,-159.3,180.0,top
R2,241.6,-338.31,90.0,top
R21,96.474765,-160.6,270.0,top
R22,174.4,-261.9,270.0,top
R25,180.35,-225.35,270.0,top
R26,183.2,-230.65,180.0,top
R27,188.51,-218.0,180.0,top
R28,77.975,-211.1,180.0,top
R3,225.2,-349.36,270.0,top
R31,93.85,-214.745,180.0,top
R32,95.48,-215.785,90.0,top
R33,95.4,-217.85,270.0,top
R34,100.55,-218.645,270.0,top
R35,101.85,-219.245,270.0,top
R36,103.05,-219.045,270.0,top
R37,100.55,-220.55,270.0,top
R38,102.05,-222.245,180.0,top
R39,105.05,-219.045,270.0,top
R4,226.2,-351.05,270.0,top
R40,110.65,-210.05,270.0,top
R41,98.35,-208.735,270.0,top
R42,180.35,-227.35,270.0,top
R43,107.4,-216.25,0.0,top
R44,107.4,-218.15,0.0,top
R45,419.4,-284.73,90.0,top
R46,419.4,-293.39,90.0,top
R47,419.379318,-302.3,90.0,top
R48,88.1578,-202.87,270.0,top
R49,148.7,-200.3,0.0,top
R5,233.05,-357.75,180.0,top
R50,82.8578,-199.77,270.0,top
R51,90.2578,-201.47,270.0,top
R52,96.25,-212.5,270.0,top
R53,143.72,-203.18,0.0,top
R54,99.724765,-156.3,270.0,top
R55,158.35,-201.95,270.0,top
R56,90.574765,-160.35,0.0,top
R57,92.474765,-160.35,0.0,top
R58,414.15,-310.19,90.0,top
R6,242.1,-354.0,270.0,top
R60,422.95,-320.69,90.0,top
R62,416.65,-280.65,0.0,top
R63,418.55,-280.65,180.0,top
R64,419.1,-276.15,0.0,top
R65,107.4,-217.2,180.0,top
R66,131.7175,-167.7,90.0,top
R67,159.75,-201.45,180.0,top
R68,141.85,-203.15,0.0,top
R69,67.9,-198.65,90.0,top
R7,198.5,-195.3,180.0,top
R70,68.9,-198.65,90.0,top
R71,68.55,-195.1,0.0,top
R72,413.6,-247.075,270.0,top
R73,415.2,-235.475,90.0,top
R74,411.8,-235.05,90.0,top
R75,412.8,-235.04,270.0,top
R76,252.65,-265.9,270.0,top
R77,251.65,-265.9,270.0,top
R78,478.55,-233.9,180.0,top
R79,462.3,-242.01,270.0,top
R8,110.2915,-177.0918,270.0,top
R80,66.24,-209.4,180.0,top
R81,492.75,-242.59,90.0,top
R82,492.75,-238.8,90.0,top
R83,458.65,-243.45,270.0,top
R85,122.3935,-160.9682,90.0,top
R86,71.6675,-209.3475,180.0,top
R87,68.9,-212.2,180.0,top
R88,82.0875,-222.3,180.0,top
R89,82.0875,-221.35,180.0,top
R9,123.3935,-160.9682,90.0,top
R90,79.7375,-219.15,270.0,top
R91,80.6875,-219.15,270.0,top
R92,66.1,-215.1,270.0,top
R93,82.0775,-223.25,180.0,top
R94,125.3935,-162.7782,270.0,top
R95,80.6375,-224.45,90.0,top
R96,75.05,-207.3,180.0,top
R97,82.0875,-220.4,180.0,top
R98,79.6875,-224.45,90.0,top
R99,75.05,-208.3,180.0,top
RCOMP2,152.15,-213.1,270.0,top
RCOMP3,151.15,-212.1,270.0,top
RCOMP4,150.15,-211.05,270.0,top
RFBB1,143.75,-204.7,0.0,top
RFBB2,142.3,-205.15,90.0,top
RFBT1,150.15,-212.95,270.0,top
R_{AC}1,95.25,-198.67,90.0,top
R_{AC}2,95.25,-190.27,90.0,top
R_{CHG}1,131.5935,-152.9682,0.0,top
R_{DSG}1,131.5935,-159.0682,0.0,top
R_{GS}1,133.4675,-159.1,0.0,top
R_{GS}2,109.2675,-177.0,270.0,top
R_{SNS}1,133.4935,-163.2782,270.0,top
R_{SR}1,111.2,-200.1655,270.0,top
S1,101.641363,-264.495366,180.0,top
S10,299.353709,-266.163163,191.0,top
S100,493.116926,-263.460739,180.0,top
S101,377.928236,-264.343889,180.0,top
S102,396.748518,-264.413136,180.0,top
S103,387.477824,-283.510497,180.0,top
S104,418.4,-316.025,0.0,top
S105,418.4,-322.675,180.0,top
S11,319.752469,-263.566904,185.0,top
S12,339.794752,-264.151265,180.0,top
S13,358.92317,-264.295765,180.0,top
S14,101.742287,-283.510464,180.0,top
S15,120.792286,-283.510464,180.0,top
S16,139.842289,-283.002485,180.0,top
S17,159.876427,-283.818091,175.0,top
S18,180.45611,-287.525944,167.0,top
S19,199.773517,-293.544417,162.0,top
S2,120.724432,-264.42922,180.0,top
S20,218.912857,-300.820875,157.5,top
S21,261.317953,-300.967329,204.0,top
S22,280.209143,-292.713358,198.0,top
S23,299.540391,-287.048237,191.0,top
S24,319.477652,-283.824071,185.0,top
S25,339.7403,-283.256474,180.0,top
S26,358.917301,-283.256474,180.0,top
S27,101.742287,-302.560461,180.0,top
S28,125.554791,-302.560461,180.0,top
S29,145.817056,-302.314047,179.0,top
S3,140.039015,-263.63547,180.0,top
S30,166.043909,-304.40417,172.0,top
S31,185.763633,-309.609259,164.0,top
S32,205.205307,-316.399771,157.5,top
S33,258.215342,-324.782748,208.0,top
S34,276.082494,-315.594036,202.0,top
S35,294.702232,-308.212655,195.3,top
S36,314.612285,-304.23933,188.5,top
S37,334.80352,-302.58463,181.5,top
S38,354.154789,-302.433466,180.0,top
S39,373.204777,-302.560461,180.0,top
S4,161.346414,-264.614568,175.0,top
S40,102.219811,-321.61046,180.0,top
S41,128.412289,-321.609426,180.0,top
S42,148.14058,-321.887085,177.0,top
S43,168.474672,-325.156258,168.0,top
S44,188.092064,-330.809098,161.0,top
S45,207.043422,-338.874661,154.0,top
S46,263.454182,-344.373063,210.0,top
S47,280.66602,-335.390416,203.0,top
S48,299.175457,-327.513031,197.0,top
S49,319.197746,-323.083456,187.5,top
S5,181.880435,-268.023663,167.0,top
S50,339.301888,-321.776802,181.5,top
S51,358.917301,-321.61046,180.0,top
S52,389.860331,-321.610493,180.0,top
S53,100.299384,-340.660494,180.0,top
S54,131.269787,-340.660463,180.0,top
S55,151.796722,-342.403965,170.0,top
S56,171.521708,-347.055417,165.0,top
S57,191.225155,-354.042568,157.5,top
S58,209.90374,-362.665838,153.0,top
S59,271.685505,-362.053312,210.0,top
S6,203.101376,-273.942274,162.0,top
S60,289.665588,-352.753653,202.5,top
S61,308.35314,-345.211688,194.5,top
S62,328.464255,-341.755063,185.0,top
S63,348.570714,-340.966991,181.5,top
S64,380.349858,-340.667,180.0,top
S65,411.304783,-340.660471,180.0,top
S66,75.554774,-280.185289,180.0,top
S67,70.780421,-299.235285,180.0,top
S68,66.970414,-318.285284,180.0,top
S69,64.594808,-337.335283,180.0,top
S7,222.964348,-280.125584,157.5,top
S70,67.146318,-359.546991,180.0,top
S71,92.928494,-359.710459,180.0,top
S72,119.120968,-359.710459,180.0,top
S73,159.019402,-367.168825,157.5,top
S74,187.6196,-379.015857,157.5,top
S75,287.741088,-379.22193,202.5,top
S76,311.94139,-369.197607,202.5,top
S77,377.967289,-359.710459,180.0,top
S78,406.542301,-359.710459,180.0,top
S79,445.74803,-358.604669,180.0,top
S8,260.288809,-279.443376,204.0,top
S80,474.237959,-358.367212,180.0,top
S81,493.130537,-348.817,180.0,top
S82,474.128371,-339.380067,180.0,top
S83,455.158583,-339.429544,180.0,top
S84,436.206465,-339.416437,180.0,top
S85,436.206465,-320.399572,180.0,top
S86,455.189314,-320.413072,180.0,top
S87,474.163222,-320.407583,180.0,top
S88,493.18795,-311.017,180.0,top
S89,474.174177,-301.448793,180.0,top
S9,279.778825,-271.37373,198.0,top
S90,455.15724,-301.41572,180.0,top
S91,436.205397,-301.440652,180.0,top
S92,436.206465,-282.464941,180.0,top
S93,455.15724,-282.498012,180.0,top
S94,474.174177,-282.464941,180.0,top
S95,493.124953,-282.464941,180.0,top
S96,455.289534,-263.414941,180.0,top
S97,436.239546,-263.381868,180.0,top
S98,397.017277,-302.560472,180.0,top
S99,474.057722,-263.491422,180.0,top
SW_{HIBERNATEBATTERY}1,129.1675,-172.15,270.0,top
TH2,96.6,-218.2,270.0,top
TH_103AT_1,172.0225,-171.55,0.0,top
U1,228.1922,-345.3979,90.0,top
U11,107.9675,-177.0,270.0,top
U12,99.012265,-160.55,0.0,top
U15,66.4375,-190.85,180.0,top
U2,238.3,-346.55,0.0,top
U3,126.5905,-156.0114,90.0,top
U5,97.174765,-157.0875,180.0,top
U6,100.925,-214.075,0.0,top
U7,149.7,-203.55,0.0,top
U8,90.324765,-162.95,270.0,top
U9,85.9,-250.826,180.0,top
X1,232.95,-355.65,270.0,top
